ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
19,Joe Johnson,34.0,MIA,SF,24,24,769.0,0.518,14.2,0.665,0.104,0.279,0.155,0.127,0.335,.569,.615,.571,.590,.500,.417,0.147,0.857,0.0,0,0.5,.405,1,0,
20,Stephen Curry,27.0,GSW,PG,79,79,2700.0,0.504,17.4,0.446,0.225,0.084,0.048,0.088,0.554,.566,.696,.422,.447,.443,.454,0.372,0.547,0.004,7,0.129,.482,11,2,"MVP-1,AS,NBA1"
21,Damian Lillard,25.0,POR,PG,75,75,2676.0,0.419,15.0,0.586,0.26,0.11,0.072,0.145,0.414,.450,.546,.315,.368,.423,.375,0.203,0.472,0.009,11,0.056,.382,3,0,"MVP-8,NBA2"
22,Andre Drummond,22.0,DET,C,81,81,2666.0,0.521,3.1,0.994,0.592,0.358,0.042,0.004,0.006,.522,.612,.409,.227,.250,.333,0.533,0.0,0.125,115,0.0,,4,1,"DPOY-10,AS,NBA3"
23,Klay Thompson,25.0,GSW,SG,80,80,2666.0,0.47,16.5,0.531,0.182,0.082,0.131,0.138,0.469,.510,.687,.336,.423,.455,.425,0.725,0.92,0.013,15,0.246,.419,4,0,"AS,NBA3"
24,Paul Millsap,30.0,ATL,PF,81,81,2647.0,0.47,9.9,0.782,0.363,0.205,0.131,0.084,0.218,.512,.630,.385,.464,.378,.319,0.644,0.973,0.046,40,0.181,.190,1,0,"DPOY-5,AS,DEF2"
25,Isaiah Thomas,26.0,BOS,PG,82,79,2644.0,0.428,12.2,0.664,0.34,0.135,0.104,0.084,0.336,.462,.581,.289,.382,.362,.359,0.337,0.647,0.0,0,0.142,.470,0,0,AS
26,Wesley Matthews,29.0,DAL,SF,78,78,2644.0,0.388,18.5,0.385,0.105,0.093,0.081,0.107,0.615,.432,.500,.342,.406,.462,.360,0.415,0.884,0.002,2,0.288,.424,0,0,
27,Al Horford,29.0,ATL,C,82,82,2631.0,0.505,12.3,0.756,0.3,0.136,0.089,0.231,0.244,.557,.745,.385,.355,.492,.344,0.776,1.0,0.084,84,0.227,.259,0,0,"DPOY-13,AS"
28,Karl-Anthony Towns,20.0,MIN,C,82,82,2627.0,0.542,9.8,0.924,0.342,0.211,0.091,0.279,0.076,.559,.701,.465,.410,.506,.341,0.667,0.9,0.069,72,0.102,.222,1,0,ROY-1
29,DeAndre Jordan,27.0,LAC,C,77,77,2598.0,0.703,1.2,0.998,0.839,0.154,0.006,0.0,0.002,.704,.765,.385,.333,,.000,0.782,0.0,0.488,227,0.0,,0,0,"DPOY-4,NBA1,DEF1"
30,Kevin Durant,27.0,OKC,SF,72,72,2578.0,0.505,14.6,0.652,0.212,0.098,0.182,0.161,0.348,.569,.737,.437,.542,.455,.387,0.518,0.64,0.081,106,0.037,.389,0,0,"MVP-5,AS,NBA2"
31,Evan Fournier,23.0,ORL,SF,79,71,2566.0,0.462,14.1,0.58,0.3,0.125,0.053,0.103,0.42,.506,.634,.405,.388,.313,.400,0.473,0.865,0.011,9,0.2,.397,4,0,
